"Visitor ID";"Event position";"Page - with levels";"Visitors"
"01919BCC1C5AF827D45EEA4C4CB7B74B07B10C31";14;"products::software::hikcentral-professional-series::hikcentral-focsign";1
"01919BCC1C5AF827D45EEA4C4CB7B74B07B10C31";15;"products::software::hikcentral-professional-series::hikcentral-focsign";1
"01919BCC1C5AF827D45EEA4C4CB7B74B07B10C31";16;"products::software::hikcentral-professional-series::hikcentral-focsign";1
"01919BCC1C5AF827D45EEA4C4CB7B74B07B10C31";17;"home";1
"01919BCC1C5AF827D45EEA4C4CB7B74B07B10C31";18;"products::software::hikcentral-professional-series::hikcentral-professional";1
"01919BCC1C5AF827D45EEA4C4CB7B74B07B10C31";19;"products::software::hikcentral-professional-series::hikcentral-professional";1
"01919BCC1C5AF827D45EEA4C4CB7B74B07B10C31";20;"products::software::hikcentral-professional-series::hikcentral-professional";1
"01919BCC1C5AF827D45EEA4C4CB7B74B07B10C31";21;"products::software::hikcentral-professional-series::hikcentral-professional";1
"01919BCC1C5AF827D45EEA4C4CB7B74B07B10C31";22;"products::software::hikcentral-professional-series::hikcentral-professional";1
"01919BCC1C5AF827D45EEA4C4CB7B74B07B10C31";23;"products::software::hikcentral-professional-series::hikcentral-professional";1
"01919BCC1C5AF827D45EEA4C4CB7B74B07B10C31";24;"products::software::hikcentral-professional-series::hikcentral-professional";1
"019250774BA7A052F3962C4A1B678928B2BDE1EA";1;"home";1
"019250774BA7A052F3962C4A1B678928B2BDE1EA";2;"home";1
"019250774BA7A052F3962C4A1B678928B2BDE1EA";3;"home";1
"01971C9D3515058B1C783C26190BF36E32170D0E";1;"errors::errors";1
"01B5E95A6CFAF89188BE089443F86E1E8F064B70";1;"support::download::software::hikcentral-professional-v2-0";1
"01B5E95A6CFAF89188BE089443F86E1E8F064B70";2;"support::download::software::hikcentral-professional-v2-0";1
"01B5E95A6CFAF89188BE089443F86E1E8F064B70";3;"support::download::software::hikcentral-professional-v2-0";1
"01C3283C488923D6B86229B56FEB1B614D8E7D7E";1;"home";1
"01C3EA1180ABEE83287C39534606C7AAF6623DB8";1;"home";1
"01C3EA1180ABEE83287C39534606C7AAF6623DB8";2;"home";1
"01C5D0B1714907799D141A34181B948247E82B0A";1;"products::ip-products::network-cameras::wi-fi-series";1
"01C5D0B1714907799D141A34181B948247E82B0A";2;"products::ip-products::network-cameras";1
"01C5D0B1714907799D141A34181B948247E82B0A";3;"products::ip-products::network-cameras";1
"01C5D0B1714907799D141A34181B948247E82B0A";4;"products::ip-products::network-cameras::pro-series-easyip-";1
"01C5D0B1714907799D141A34181B948247E82B0A";5;"products::ip-products::network-cameras::pro-series-easyip-";1
"01C5D0B1714907799D141A34181B948247E82B0A";6;"search::search";1
"01C5D0B1714907799D141A34181B948247E82B0A";7;"search::search";1
"01C5D0B1714907799D141A34181B948247E82B0A";8;"search::search";1
"01C5D0B1714907799D141A34181B948247E82B0A";9;"search::search";1
"01D9E937F499E9AB76EBD3483D10293089768CEB";1;"support::download::software";1
"01D9E937F499E9AB76EBD3483D10293089768CEB";2;"support::download::software";1
"01E7A5CD320C710229C0348F414CBF4BAB82251F";1;"products::ip-products::network-cameras::pro-series-easyip-|ds-2cd2t43g2-2i-4i";1
"01E7A5CD320C710229C0348F414CBF4BAB82251F";2;"products::ip-products::network-cameras::pro-series-easyip-|ds-2cd2t43g2-2i-4i";1
"01E7A5CD320C710229C0348F414CBF4BAB82251F";3;"products::ip-products::network-cameras::pro-series-easyip-|ds-2cd2t43g2-2i-4i";1
"01E7A5CD320C710229C0348F414CBF4BAB82251F";4;"products::ip-products::network-cameras::pro-series-easyip-|ds-2cd2t43g2-2i-4i";1
"01E7A5CD320C710229C0348F414CBF4BAB82251F";5;"products::ip-products::network-cameras::pro-series-easyip-|ds-2cd2t43g2-2i-4i";1
"01E7A5CD320C710229C0348F414CBF4BAB82251F";6;"products::ip-products::network-cameras::pro-series-easyip-|ds-2cd2t43g2-2i-4i";1
"01E7A5CD320C710229C0348F414CBF4BAB82251F";7;"products::ip-products::network-cameras::pro-series-easyip-|ds-2cd2t43g2-2i-4i";1
"01E7A5CD320C710229C0348F414CBF4BAB82251F";8;"products::ip-products::network-cameras::pro-series-easyip-|ds-2cd2t43g2-2i-4i";1
"01E7A5CD320C710229C0348F414CBF4BAB82251F";9;"products::ip-products::network-cameras::pro-series-easyip-|ds-2cd2t43g2-2i-4i";1
"01E7A5CD320C710229C0348F414CBF4BAB82251F";10;"products::ip-products::network-cameras::pro-series-easyip-|ds-2cd2t43g2-2i-4i";1
"01E7A5CD320C710229C0348F414CBF4BAB82251F";11;"support::download::firmware";1
"01E7A5CD320C710229C0348F414CBF4BAB82251F";12;"support::download::firmware";1
"01E7A5CD320C710229C0348F414CBF4BAB82251F";13;"support::download::firmware";1
"01E7A5CD320C710229C0348F414CBF4BAB82251F";14;"support::download::firmware";1
"01E7A5CD320C710229C0348F414CBF4BAB82251F";15;"support::download::firmware";1
